Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0402,-49.91,49.6,-49.91,49.6,-49.91,49.6,Top,0,C_0402_0.1uF
C2,C_0603,-73.94,69.32,-73.94,69.32,-73.94,69.32,Top,155,C_0603_4.7uF
C5,C_0603,-65.91,66.9,-65.91,66.9,-65.91,66.9,Top,0,C_0603_4.7uF
C9,C_0603,-51.94,19.07,-51.94,19.07,-51.94,19.07,Top,-22.5,C_0603_4.7uF
C10,C_0402,-64.21,66,-64.21,66,-64.21,66,Top,0,C_0402_0.1uF
C11,C_0402,-48.45,65.52,-48.45,65.52,-48.45,65.52,Top,180,C_0402_0.1uF
C12,C_0603,-48.42,63.43,-48.42,63.43,-48.42,63.43,Top,180,C_0603_4.7uF
C13,C_0402,-48.43,62.66,-48.43,62.66,-48.43,62.66,Top,180,C_0402_0.1uF
C14,C_0402,-64.66,62.2,-64.66,62.2,-64.66,62.2,Top,-90,C_0402_0.1uF
C15,C_0402,-48.43,67.34,-48.43,67.34,-48.43,67.34,Top,180,C_0402_0.1uF
C16,C_0603,-48.45,66.4,-48.45,66.4,-48.45,66.4,Top,180,C_0603_4.7uF
C17,C_0603,-57.06,74.2,-57.06,74.2,-57.06,74.2,Top,90,C_0603_4.7uF
C18,C_0402,-69.56,63.3,-69.56,63.3,-69.56,63.3,Top,0,C_0402_15pF
C19,C_0402,-69.56,64.9,-69.56,64.9,-69.56,64.9,Top,0,C_0402_15pF
C20,C_0402,-55.52,57.26,-55.52,57.26,-55.52,57.26,Top,-90,C_0402_0.1uF
C21,C_0402,-79.86,71.4,-79.86,71.4,-79.86,71.4,Top,0,C_0402_0.1uF
C23,C_0603,-68.02,47.26,-68.02,47.26,-68.02,47.26,Top,0,C_0603_4.7uF
C25,C_0402,-80.63,58.12,-80.63,58.12,-80.63,58.12,Top,180,C_0402_0.1uF
C26,C_0402,-68.03,44.67,-68.03,44.67,-68.03,44.67,Top,0,C_0402_0.1uF
C27,C_0402,-61.16,47.55,-61.16,47.55,-61.16,47.55,Top,90,C_0402_1uF
C28,C_0402,-58.02,48.36,-58.02,48.36,-58.02,48.36,Top,0,C_0402_1uF
C29,C_0402,-56.42,45.23,-56.42,45.23,-56.42,45.23,Top,0,C_0402_1uF
C30,C_0402,-61.16,45.33,-61.16,45.33,-61.16,45.33,Top,-90,C_0402_1uF
C31,C_0402,-59.64,45.13,-59.64,45.13,-59.64,45.13,Top,-90,C_0402_1uF
C32,C_0402,-57.46,47.26,-57.46,47.26,-57.46,47.26,Top,0,C_0402_1uF
C33,C_0402,-55.82,44.29,-55.82,44.29,-55.82,44.29,Top,0,C_0402_1uF
C34,C_0402,-62.1,45.33,-62.1,45.33,-62.1,45.33,Top,-90,C_0402_1uF
C35,C_0402,-56.92,46.2,-56.92,46.2,-56.92,46.2,Top,0,C_0402_1uF
C36,C_0402,-64.52,44.53,-64.52,44.53,-64.52,44.53,Top,90,C_0402_0.1uF
C37,C_0603,-68.02,45.9,-68.02,45.9,-68.02,45.9,Top,0,C_0603_4.7uF
C38,C_0402,-48.26,19,-48.26,19,-48.26,19,Top,90,C_0402_0.1uF
C39,C_0402,-56.16,74.2,-56.16,74.2,-56.16,74.2,Top,90,C_0402_0.1uF
C40,C_0402,-76.86,69.9,-76.86,69.9,-76.86,69.9,Top,-112.5,C_0402_0.1uF
C41,C_0402,-79.86,72.3,-79.86,72.3,-79.86,72.3,Top,0,C_0402_1uF
