Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0402,-63.05,49.6,-63.05,49.6,-63.05,49.6,Top,180,C_0402_0.1uF
C2,C_0603,-39.02,69.32,-39.02,69.32,-39.02,69.32,Top,25,C_0603_4.7uF
C5,C_0603,-47.05,66.9,-47.05,66.9,-47.05,66.9,Top,180,C_0603_4.7uF
C9,C_0603,-61.02,19.07,-61.02,19.07,-61.02,19.07,Top,-22.5,C_0603_4.7uF
C10,C_0402,-48.75,66,-48.75,66,-48.75,66,Top,180,C_0402_0.1uF
C11,C_0402,-64.51,65.52,-64.51,65.52,-64.51,65.52,Top,0,C_0402_0.1uF
C12,C_0603,-64.54,63.43,-64.54,63.43,-64.54,63.43,Top,0,C_0603_4.7uF
C13,C_0402,-64.53,62.66,-64.53,62.66,-64.53,62.66,Top,0,C_0402_0.1uF
C14,C_0402,-48.3,62.2,-48.3,62.2,-48.3,62.2,Top,-90,C_0402_0.1uF
C15,C_0402,-64.53,67.34,-64.53,67.34,-64.53,67.34,Top,0,C_0402_0.1uF
C16,C_0603,-64.51,66.4,-64.51,66.4,-64.51,66.4,Top,0,C_0603_4.7uF
C17,C_0603,-55.9,74.2,-55.9,74.2,-55.9,74.2,Top,90,C_0603_4.7uF
C18,C_0402,-43.4,63.3,-43.4,63.3,-43.4,63.3,Top,180,C_0402_15pF
C19,C_0402,-43.4,64.9,-43.4,64.9,-43.4,64.9,Top,180,C_0402_15pF
C20,C_0402,-57.45,57.26,-57.45,57.26,-57.45,57.26,Top,-90,C_0402_0.1uF
C21,C_0402,-33.1,71.4,-33.1,71.4,-33.1,71.4,Top,180,C_0402_0.1uF
C23,C_0603,-44.94,47.26,-44.94,47.26,-44.94,47.26,Top,180,C_0603_4.7uF
C25,C_0402,-32.33,58.12,-32.33,58.12,-32.33,58.12,Top,0,C_0402_0.1uF
C26,C_0402,-44.93,44.67,-44.93,44.67,-44.93,44.67,Top,180,C_0402_0.1uF
C27,C_0402,-51.8,47.55,-51.8,47.55,-51.8,47.55,Top,90,C_0402_1uF
C28,C_0402,-54.95,48.36,-54.95,48.36,-54.95,48.36,Top,180,C_0402_1uF
C29,C_0402,-56.55,45.23,-56.55,45.23,-56.55,45.23,Top,180,C_0402_1uF
C30,C_0402,-51.8,45.33,-51.8,45.33,-51.8,45.33,Top,-90,C_0402_1uF
C31,C_0402,-53.33,45.13,-53.33,45.13,-53.33,45.13,Top,-90,C_0402_1uF
C32,C_0402,-55.5,47.26,-55.5,47.26,-55.5,47.26,Top,180,C_0402_1uF
C33,C_0402,-57.15,44.29,-57.15,44.29,-57.15,44.29,Top,180,C_0402_1uF
C34,C_0402,-50.86,45.33,-50.86,45.33,-50.86,45.33,Top,-90,C_0402_1uF
C35,C_0402,-56.05,46.2,-56.05,46.2,-56.05,46.2,Top,180,C_0402_1uF
C36,C_0402,-48.44,44.53,-48.44,44.53,-48.44,44.53,Top,90,C_0402_0.1uF
C37,C_0603,-44.94,45.9,-44.94,45.9,-44.94,45.9,Top,180,C_0603_4.7uF
C38,C_0402,-64.7,19,-64.7,19,-64.7,19,Top,90,C_0402_0.1uF
C39,C_0402,-56.8,74.2,-56.8,74.2,-56.8,74.2,Top,90,C_0402_0.1uF
C40,C_0402,-36.1,69.9,-36.1,69.9,-36.1,69.9,Top,-112.5,C_0402_0.1uF
C41,C_0402,-33.1,72.3,-33.1,72.3,-33.1,72.3,Top,180,C_0402_1uF
C42,C_0402,-65.4,19,-65.4,19,-65.4,19,Top,90,C_0402_1uF
C43,C_0603,-21.3,36.2,-21.3,36.2,-21.3,36.2,Top,0,C_0603_4.7uF
C45,C_1206,-88.7,48.4,-88.7,48.4,-88.7,48.4,Top,0,C_1206_TBD_(50v)_(DNP)
C46,C_0402,-35.6,56.56,-35.6,56.56,-35.6,56.56,Top,90,C_0402_0.1uF
C47,C_0402,-86.1,50.6,-86.1,50.6,-86.1,50.6,Top,90,C_0402_0.1uF
C48,C_0402,-91.01,38.77,-91.01,38.77,-91.01,38.77,Top,0,C_0402_0.1uF
C49,C_0402,-34.7,18.7,-34.7,18.7,-34.7,18.7,Top,52.5,C_0402_0.1uF
C50,C_0402,-66.9,68.9,-66.9,68.9,-66.9,68.9,Top,-52.5,C_0402_0.1uF
C51,C_0603,-49.2,62.2,-49.2,62.2,-49.2,62.2,Top,-90,C_0603_4.7uF
C54,C_0603,-88.3,50,-88.3,50,-88.3,50,Top,0,C_0603_1uF_(50v)
C55,C_0402,-84.9,44.1,-84.9,44.1,-84.9,44.1,Top,-90,C_0402_0.1uF_(50V)_DNS
C56,C_0402,-82.19,44.15,-82.19,44.15,-82.19,44.15,Top,-90,C_0402_0.1uF_(50V)_DNS
C57,C_0603,-34.36,21.25,-34.36,21.25,-34.36,21.25,Top,142.5,C_0603_4.7uF
C58,C_0603,-67.78,66.06,-67.78,66.06,-67.78,66.06,Top,-140,C_0603_4.7uF
C59,C_0402,-61.59,17.91,-61.59,17.91,-61.59,17.91,Top,22.5,C_0402_0.1uF
C60,C_0402,-37.5,19.8,-37.5,19.8,-37.5,19.8,Top,180,C_0402_0.1uF
C61,C_0402,-66.78,71.66,-66.78,71.66,-66.78,71.66,Top,90,C_0402_0.1uF
C62,C_0603,-48.78,49.46,-48.78,49.46,-48.78,49.46,Top,90,C_0603_4.7uF
C66,C_0402,-75.8,37.4,-75.8,37.4,-75.8,37.4,Top,-90,C_0402_1uF
C67,C_0402,-35.9,18.1,-35.9,18.1,-35.9,18.1,Top,-90,C_0402_1uF
C68,C_0402,-67.58,71.66,-67.58,71.66,-67.58,71.66,Top,90,C_0402_1uF
C69,C_0402,-78.4,40.7,-78.4,40.7,-78.4,40.7,Top,0,C_0402_0.1uF
C70,C_0402,-80,40.1,-80,40.1,-80,40.1,Top,90,C_0402_1uF
D2,D_SOD-123,-88.9,46.6,-88.9,46.6,-88.9,46.6,Top,0,D_SOD-123_D_Schottky
D5,D_SOD-123,-49.95,77.36,-49.95,77.36,-49.95,77.36,Top,-90,D_SOD-123_MBR0520LT1G
D7,D_SOD-123,-52.04,7.96,-52.04,7.96,-52.04,7.96,Top,-90,D_SOD-123_MBR0520LT1G
D8,D_SOD-123,-48.35,7.03,-48.35,7.03,-48.35,7.03,Top,0,D_SOD-123_MBR0520LT1G
G1,SOT-23-5,-85.2,38.6,-85.2,38.6,-85.2,38.6,Top,180,SOT-23-5_AP3012
L2,Inductor_Wurth_MAPI-2010,-58.87,57.13,-58.87,57.13,-58.87,57.13,Top,90,Inductor_Wurth_MAPI-2010_BLM18PG600
L4,C_0805,-86,41.5,-86,41.5,-86,41.5,Top,0,C_0805_10uH
P7,SFV30R-4STBE1HLF-Inverted,-43.42,42.41,-43.42,42.41,-43.42,42.41,Top,0,SFV30R-4STBE1HLF-Inverted_SFV30R-4STBE1HLF
Q1,SOT-23,-40.43,57.85,-40.43,57.85,-40.43,57.85,Top,90,SOT-23_MMBT2222
Q2,SOT-23,-51.98,12.3,-51.98,12.3,-51.98,12.3,Top,-90,SOT-23_BCW89
Q3,SOT-23,-47.94,10.04,-47.94,10.04,-47.94,10.04,Top,-90,SOT-23_BCW89
R4,R_0402,-43.58,80.32,-43.58,80.32,-43.58,80.32,Top,90,R_0402_33
R5,R_0402,-46.13,78.63,-46.13,78.63,-46.13,78.63,Top,90,R_0402_33
R7,R_0402,-86.45,52.4,-86.45,52.4,-86.45,52.4,Top,180,R_0402_4.7K
R8,R_0402,-89.41,44.81,-89.41,44.81,-89.41,44.81,Top,0,R_0402_100K
R9,R_0402,-88,38.2,-88,38.2,-88,38.2,Top,90,R_0402_4.7K
R10,R_0402,-48.75,65,-48.75,65,-48.75,65,Top,0,R_0402_499
R11,R_0402,-47.57,75.7,-47.57,75.7,-47.57,75.7,Top,0,R_0402_100K
R16,R_0402,-70,71.63,-70,71.63,-70,71.63,Top,-142.5,R_0402_4.7K
R19,R_0402,-80.72,44.04,-80.72,44.04,-80.72,44.04,Top,-90,R_0402_4.7K
R20,R_0402,-83.4,44.15,-83.4,44.15,-83.4,44.15,Top,90,R_0402_4.7K
R23,R_0402,-72.34,67.97,-72.34,67.97,-72.34,67.97,Top,142.5,R_0402_4.7K
R39,R_0402,-37.69,56.65,-37.69,56.65,-37.69,56.65,Top,90,R_0402_10K
R72,R_0402,-48.88,13,-48.88,13,-48.88,13,Top,90,R_0402_10K
R73,R_0402,-47.03,13.05,-47.03,13.05,-47.03,13.05,Top,90,R_0402_10K
U1,SOIC-8_3.9x4.9mm_Pitch1.27mm,-66.3,46.44,-66.3,46.44,-66.3,46.44,Top,180,SOIC-8_3.9x4.9mm_Pitch1.27mm_AT25_EEPROM
U3,SOT-23-6,-32.5,69.6,-32.5,69.6,-32.5,69.6,Top,180,SOT-23-6_SiP32510
U4,SOT-23-6,-67.6,18.5,-67.6,18.5,-67.6,18.5,Top,0,SOT-23-6_SiP32510
U6,XMC4200-64LQFP,-56.42,65.63,-56.42,65.63,-56.42,65.63,Top,-90,XMC4200-64LQFP_XMC4200-F64
U7,SOT-23-6,-38,17.5,-38,17.5,-38,17.5,Top,-90,SOT-23-6_SiP32510
U8,SOT-23-6,-64.8,72.1,-64.8,72.1,-64.8,72.1,Top,90,SOT-23-6_SiP32510
U9,PQFN50P300X250X86-14N,-35.12,58.92,-35.12,58.92,-35.12,58.92,Top,180,PQFN50P300X250X86-14N_LSM6DS3
U10,SOT-23-6,-78.1,37.8,-78.1,37.8,-78.1,37.8,Top,180,SOT-23-6_SiP32510
U11,HTSOP-8-1EP_3.9x4.9mm_Pitch1.27mm_ThermalVias,-82.8,48.9,-82.8,48.9,-82.8,48.9,Top,-90,HTSOP-8-1EP_3.9x4.9mm_Pitch1.27mm_ThermalVias_A4953
U12,SOT-23-6,-46.15,49.6,-46.15,49.6,-46.15,49.6,Top,0,SOT-23-6_SiP32510
U13,SOT-23-6,-91.66,40.79,-91.66,40.79,-91.66,40.79,Top,0,SOT-23-6_MCP4012T-503E/CH
U19,SOT-23-6,-37.92,71.25,-37.92,71.25,-37.92,71.25,Top,-25,SOT-23-6_TLV493D
U20,SOT-23-6,-32.57,19.65,-32.57,19.65,-32.57,19.65,Top,-142.5,SOT-23-6_TLV493D
U21,SOT-23-6,-69,67.82,-69,67.82,-69,67.82,Top,142.5,SOT-23-6_TLV493D
U22,SOT-23-6,-62.34,15.76,-62.34,15.76,-62.34,15.76,Top,22.5,SOT-23-6_TLV493D
Y1,Crystal_NX3225,-46.1,63.4,-46.1,63.4,-46.1,63.4,Top,90,Crystal_NX3225_12MHz
