Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C3,C_0402,41.08,51.59,41.08,51.59,41.08,51.59,Top,180,C_0402_1uF
C4,C_0603,23.58,36.96,23.58,36.96,23.58,36.96,Top,-90,C_0603_4.7uF
C6,C_0603,25.45,35.16,25.45,35.16,25.45,35.16,Top,0,C_0603_4.7uF
C7,C_0603,21.47,43.51,21.47,43.51,21.47,43.51,Top,-90,C_0603_4.7uF
C8,C_0603,23.4,47.78,23.4,47.78,23.4,47.78,Top,180,C_0603_4.7uF
C22,C_0402,6.56,49.03,6.56,49.03,6.56,49.03,Top,0,C_0402_0.1uF
C24,C_0402,15.75,28.75,15.75,28.75,15.75,28.75,Top,-90,C_0402_0.1uF
C44,C_0603,14.1,43.6,14.1,43.6,14.1,43.6,Top,-90,C_0603_4.7uF
D1,D_SOD-123,12.45,46.11,12.45,46.11,12.45,46.11,Top,180,D_SOD-123_MBR0520LT1G
D4,SOT-723,6.57,43.94,6.57,43.94,6.57,43.94,Top,-90,SOT-723_ESD5V3U2U
DS2,CLVBA,82.43,27.7,82.43,27.7,82.43,27.7,Top,0,CLVBA_CLVBA_RGB_LED
L1,Inductor_Wurth_MAPI-2010,6.5,39.8,6.5,39.8,6.5,39.8,Top,0,Inductor_Wurth_MAPI-2010_BLM18PG600
L3,Inductor_Wurth_MAPI-2010,6.59,46.79,6.59,46.79,6.59,46.79,Top,180,Inductor_Wurth_MAPI-2010_BLM18PG600
P1,BatCon_009155004541006,80.3,81.15,80.3,81.15,80.3,81.15,Top,-90,BatCon_009155004541006_009155004541006
Q4,SOT-23,74.95,26.83,74.95,26.83,74.95,26.83,Top,90,SOT-23_MMBT2222
Q5,SOT-23,89.15,31.98,89.15,31.98,89.15,31.98,Top,-90,SOT-23_MMBT2222
Q6,SOT-23,81.68,21.15,81.68,21.15,81.68,21.15,Top,90,SOT-23_MMBT2222
Q7,SOT-23,85.26,57.6,85.26,57.6,85.26,57.6,Top,0,SOT-23_MMBT2222
Q8,SOT-23,30.61,44.11,30.61,44.11,30.61,44.11,Top,0,SOT-23_MMBT2222
R1,R_0402,26.39,44.61,26.39,44.61,26.39,44.61,Top,90,R_0402_4.7K
R2,R_0402,41.08,50.45,41.08,50.45,41.08,50.45,Top,0,R_0402_100K
R3,R_0402,41.08,52.74,41.08,52.74,41.08,52.74,Top,180,R_0402_390K_(1%)
R6,R_0402,25.53,47.78,25.53,47.78,25.53,47.78,Top,180,R_0402_4.7K
R12,R_0402,8.33,44.57,8.33,44.57,8.33,44.57,Top,0,R_0402_33
R13,R_0402,8.29,43.21,8.29,43.21,8.29,43.21,Top,0,R_0402_33
R14,R_0402,9.09,47.65,9.09,47.65,9.09,47.65,Top,0,R_0402_4.7K
R15,R_0402,9.09,48.94,9.09,48.94,9.09,48.94,Top,180,R_0402_10K
R17,R_0402,15.75,26.75,15.75,26.75,15.75,26.75,Top,-90,R_0402_10K
R18,R_1206,88.66,56.16,88.66,56.16,88.66,56.16,Top,90,R_1206_4.7K
R30,R_0402,75.85,24.13,75.85,24.13,75.85,24.13,Top,90,R_0402_100K
R31,R_0402,74.05,24.13,74.05,24.13,74.05,24.13,Top,-90,R_0402_10K
R32,R_0402,91.18,34.88,91.18,34.88,91.18,34.88,Top,90,R_0402_100K
R33,R_0402,91.18,33.2,91.18,33.2,91.18,33.2,Top,90,R_0402_10K
R34,R_0402,78.9,18.93,78.9,18.93,78.9,18.93,Top,0,R_0402_100K
R35,R_0402,78.9,20.18,78.9,20.18,78.9,20.18,Top,180,R_0402_10K
R36,R_0805,75.88,29.38,75.88,29.38,75.88,29.38,Top,180,R_0805_124
R37,R_0805,88.93,29.33,88.93,29.33,88.93,29.33,Top,0,R_0805_124
R38,R_0805,84.23,23.2,84.23,23.2,84.23,23.2,Top,180,R_0805_124
R42,R_0402,29.79,46.56,29.79,46.56,29.79,46.56,Top,0,R_0402_10K
R43,R_0402,28.25,45.99,28.25,45.99,28.25,45.99,Top,90,R_0402_10K
R44,R_1206,35.55,47.36,35.55,47.36,35.55,47.36,Top,0,R_1206_49.9
R46,R_0402,14.67,26.75,14.67,26.75,14.67,26.75,Top,-90,R_0402_100K
S1,ESwitch_TL3301+Gull+J,22.74,27.7,22.74,27.7,22.74,27.7,Top,0,ESwitch_TL3301+Gull+J_TL3301
U2,SOT-553,25.36,36.8,25.36,36.8,25.36,36.8,Top,-90,SOT-553_TCR2EE/EF
U5,SOT-23-5,23.94,45.36,23.94,45.36,23.94,45.36,Top,-90,SOT-23-5_MCP73831-2AC
