"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q2,Q3";"SOT-23";2;"BCW89";;;
2;"U16";"Piezo_22mm_7mm_4KHz";1;"PiezoTransducer";;;
3;"JP1";"Harwin_LTek-Male_02x2.00mm_Straight";1;"M22-2510246 {SPN02SYBN-RC}";;;
4;"U20,U19,U21,U22";"SOT-23-6";4;"TLV493D";;;
5;"U6";"XMC4200-64LQFP";1;"XMC4200-F64";;;
6;"C30,C27,C28,C29,C31,C32,C33,C34,C35,C3,C41,C42,C67,C68,C70,C66";"C_0402";16;"1uF";;;
7;"DS2";"CLVBA";1;"CLVBA_RGB_LED";;;
8;"Q4,Q1,Q5,Q6,Q8,Q7";"SOT-23";6;"MMBT2222";;;
9;"R38,R36,R37";"R_0805";3;"124";;;
10;"C14,C1,C11,C13,C15,C20,C21,C22,C25,C36,C10,C49,C50,C24,C38,C39,C40,C47,C59,C60,C61,C69,C46,C26";"C_0402";24;"0.1uF";;;
11;"P3";"Pin_Header_Straight_2x05_Pitch1.27mm";1;"PGM_DBG";;;
12;"L4";"C_0805";1;"10uH";;;
13;"R34,R2,R8,R11,R30,R32,R46";"R_0402";7;"100K";;;
14;"C18,C19";"C_0402";2;"15pF";;;
15;"D4";"SOT-723";1;"ESD5V3U2U";;;
16;"G1";"SOT-23-5";1;"AP3012";;;
17;"R1,R6,R7,R9,R14,R16,R23,R19,R20";"R_0402";9;"4.7K";;;
18;"R3";"R_0402";1;"390K (1%)";;;
19;"R4,R5,R12,R13";"R_0402";4;"33";;;
20;"R10";"R_0402";1;"499";;;
21;"R15,R31,R33,R35,R39,R42,R43,R17,R72,R73";"R_0402";10;"10K";;;
22;"U2";"SOT-553";1;"TCR2EE/EF";;;
23;"U5";"SOT-23-5";1;"MCP73831-2AC";;;
24;"Y1";"Crystal_NX3225";1;"12MHz";;;
25;"VBAT_DIV1";"TP_Pin40";1;"TEST";;;
26;"D1,D5,D7,D8";"D_SOD-123";4;"MBR0520LT1G";;;
27;"D2";"D_SOD-123";1;"D_Schottky";;;
28;"L3,L2,L1";"Inductor_Wurth_MAPI-2010";3;"BLM18PG600";;;
29;"C43,C4,C5,C6,C7,C8,C16,C17,C51,C2,C9,C12,C23,C37,C57,C58,C62";"C_0603";17;"4.7uF";;;
30;"C44";"C_0603";1;"10uF";;;
31;"C55,C56";"C_0402";2;"0.1uF (50V) DNS";;;
32;"P5";"3_50D_100SP_Solder";1;"CONN_01X03";;;
33;"MNT1,MNT2,MNT3,MNT4";"N8-Screw";4;"MNT";;;
34;"P2";"1054431101";1;"USB_Micro B";;;
35;"P4";"JST_PH_S2B-PH-K_02x2.00mm_Angled";1;"ER-CON2.0-2P-SMD";;;
36;"TP1";"TP_Pin40";1;"LCDcs";;;
37;"TP2";"TP_Pin40";1;"GYROcs";;;
38;"TP3";"TP_Pin40";1;"MISO";;;
39;"TP5";"TP_Pin40";1;"CLK";;;
40;"TP6";"TP_Pin40";1;"MOSI";;;
41;"TP7";"TP_Pin40";1;"I2C0_C";;;
42;"TP8";"TP_Pin40";1;"I2C_D";;;
43;"TP11,TP12";"TP_Pin40";2;"GND";;;
44;"TP15";"TP_Pin40";1;"3V3";;;
45;"R25,R26";"R_0402";2;"0-DNP";;;
46;"R44";"R_1206";1;"49.9";;;
47;"S1";"ESwitch_TL3301+Gull+J";1;"TL3301";;;
48;"ADJ_1,ADJ_2";"FiducialSam1";2;"FIDUCIAL";;;
49;"P1";"BatCon_009155004541006";1;"009155004541006";;;
50;"U11";"HTSOP-8-1EP_3.9x4.9mm_Pitch1.27mm_ThermalVias";1;"A4953";;;
51;"C54";"C_0603";1;"1uF (50v)";;;
52;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"AT25_EEPROM";;;
53;"U3,U4,U7,U8,U10,U12";"SOT-23-6";6;"SiP32510";;;
54;"C45";"C_1206";1;"TBD (50v) (DNP)";;;
55;"P6";"POGO5";1;"POGO_PGM";;;
56;"P7";"SFV30R-4STBE1HLF-Inverted";1;"SFV30R-4STBE1HLF";;;
57;"R18";"R_1206";1;"4.7K";;;
58;"U9";"PQFN50P300X250X86-14N";1;"LSM6DS3";;;
