Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment,,,Ref,Val,Package,PosX,PosY,Rot,Side
C1,C_0402,63.05,49.6,63.05,49.6,63.05,49.6,,,,,,C1,0.1uF,C_0402,63.05,49.6,180,bottom
C2,C_0603,39.02,68.961,39.02,68.961,39.02,68.961,,,,,,C2,4.7uF,C_0603,39.02,68.961,25,bottom
C5,C_0603,46.863,67.183,46.863,67.183,46.863,67.183,,,,,,C5,4.7uF,C_0603,46.863,67.183,180,bottom
C9,C_0603,61.02,19.07,61.02,19.07,61.02,19.07,,,,,,C9,4.7uF,C_0603,61.02,19.07,202.5,bottom
C10,C_0402,48.6498,66.0654,48.6498,66.0654,48.6498,66.0654,,,,,,C10,0.1uF,C_0402,48.6498,66.0654,180,bottom
C11,C_0402,64.516,64.77,64.516,64.77,64.516,64.77,,,,,,C11,0.1uF,C_0402,64.516,64.77,0,bottom
C12,C_0603,64.537249,63.430079,64.537249,63.430079,64.537249,63.430079,,,,,,C12,4.7uF,C_0603,64.537249,63.430079,0,bottom
C13,C_0402,64.516,61.976,64.516,61.976,64.516,61.976,,,,,,C13,0.1uF,C_0402,64.516,61.976,0,bottom
C14,C_0402,48.1076,62.1284,48.1076,62.1284,48.1076,62.1284,,,,,,C14,0.1uF,C_0402,48.1076,62.1284,270,bottom
C15,C_0402,64.516,67.31,64.516,67.31,64.516,67.31,,,,,,C15,0.1uF,C_0402,64.516,67.31,0,bottom
C16,C_0603,64.516,66.04,64.516,66.04,64.516,66.04,,,,,,C16,4.7uF,C_0603,64.516,66.04,0,bottom
C17,C_0603,55.88,74.2,55.88,74.2,55.88,74.2,,,,,,C17,4.7uF,C_0603,55.88,74.2,90,bottom
C18,C_0402,43.4,63.3,43.4,63.3,43.4,63.3,,,,,,C18,15pF,C_0402,43.4,63.3,180,bottom
C19,C_0402,43.4,64.9,43.4,64.9,43.4,64.9,,,,,,C19,15pF,C_0402,43.4,64.9,180,bottom
C20,C_0402,57.445,57.2584,57.445,57.2584,57.445,57.2584,,,,,,C20,0.1uF,C_0402,57.445,57.2584,270,bottom
C21,C_0402,32.846,71.908,32.846,71.908,32.846,71.908,,,,,,C21,0.1uF,C_0402,32.846,71.908,180,bottom
C23,C_0603,44.9192,47.1424,44.9192,47.1424,44.9192,47.1424,,,,,,C23,4.7uF,C_0603,44.9192,47.1424,180,bottom
C25,C_0402,32.33,58.12,32.33,58.12,32.33,58.12,,,,,,C25,0.1uF,C_0402,32.33,58.12,0,bottom
C26,C_0402,44.93,44.67,44.93,44.67,44.93,44.67,,,,,,C26,0.1uF,C_0402,44.93,44.67,180,bottom
C27,C_0402,51.8,47.55,51.8,47.55,51.8,47.55,,,,,,C27,1uF,C_0402,51.8,47.55,90,bottom
C28,C_0402,54.945,48.3584,54.945,48.3584,54.945,48.3584,,,,,,C28,1uF,C_0402,54.945,48.3584,180,bottom
C29,C_0402,56.545,45.23232,56.545,45.23232,56.545,45.23232,,,,,,C29,1uF,C_0402,56.545,45.23232,180,bottom
C30,C_0402,51.8,45.325,51.8,45.325,51.8,45.325,,,,,,C30,1uF,C_0402,51.8,45.325,270,bottom
C31,C_0402,53.325,45.125,53.325,45.125,53.325,45.125,,,,,,C31,1uF,C_0402,53.325,45.125,270,bottom
C32,C_0402,55.5,47.2584,55.5,47.2584,55.5,47.2584,,,,,,C32,1uF,C_0402,55.5,47.2584,180,bottom
C33,C_0402,57.145,44.29252,57.145,44.29252,57.145,44.29252,,,,,,C33,1uF,C_0402,57.145,44.29252,180,bottom
C34,C_0402,50.85992,45.33392,50.85992,45.33392,50.85992,45.33392,,,,,,C34,1uF,C_0402,50.85992,45.33392,270,bottom
C35,C_0402,56.045,46.19752,56.045,46.19752,56.045,46.19752,,,,,,C35,1uF,C_0402,56.045,46.19752,180,bottom
C36,C_0402,48.44,44.53,48.44,44.53,48.44,44.53,,,,,,C36,0.1uF,C_0402,48.44,44.53,90,bottom
C37,C_0603,44.9834,45.7454,44.9834,45.7454,44.9834,45.7454,,,,,,C37,4.7uF,C_0603,44.9834,45.7454,180,bottom
C38,C_0402,64.008,19,64.008,19,64.008,19,,,,,,C38,0.1uF,C_0402,64.008,19,90,bottom
C39,C_0402,57.15,74.549,57.15,74.549,57.15,74.549,,,,,,C39,0.1uF,C_0402,57.15,74.549,90,bottom
C40,C_0402,35.687,69.723,35.687,69.723,35.687,69.723,,,,,,C40,0.1uF,C_0402,35.687,69.723,292.5,bottom
C41,C_0402,32.846,73.025,32.846,73.025,32.846,73.025,,,,,,C41,1uF,C_0402,32.846,73.025,180,bottom
C42,C_0402,65.151,19,65.151,19,65.151,19,,,,,,C42,1uF,C_0402,65.151,19,90,bottom
C43,C_0603,21.3,36.2,21.3,36.2,21.3,36.2,,,,,,C43,4.7uF,C_0603,21.3,36.2,0,bottom
C46,C_0402,35.5854,56.1848,35.5854,56.1848,35.5854,56.1848,,,,,,C46,0.1uF,C_0402,35.5854,56.1848,90,bottom
C47,C_0402,24.0538,45.8216,24.0538,45.8216,24.0538,45.8216,,,,,,C47,0.1uF,C_0402,24.0538,45.8216,0,bottom
C48,C_0402,78.6384,55.9562,78.6384,55.9562,78.6384,55.9562,,,,,,C48,0.1uF,C_0402,78.6384,55.9562,90,bottom
C49,C_0402,35.052,21.082,35.052,21.082,35.052,21.082,,,,,,C49,0.1uF,C_0402,35.052,21.082,142.5,bottom
C50,C_0402,66.802,69.088,66.802,69.088,66.802,69.088,,,,,,C50,0.1uF,C_0402,66.802,69.088,232.5,bottom
C51,C_0603,49.2,62.2,49.2,62.2,49.2,62.2,,,,,,C51,4.7uF,C_0603,49.2,62.2,270,bottom
C52,C_0402,74.2188,42.3164,74.2188,42.3164,74.2188,42.3164,,,,,,C52,0.1uF,C_0402,74.2188,42.3164,90,bottom
C53,C_0402,23.876,44.1706,23.876,44.1706,23.876,44.1706,,,,,,C53,1uF,C_0402,23.876,44.1706,0,bottom
C54,C_0603,84.8614,49.3268,84.8614,49.3268,84.8614,49.3268,,,,,,C54,1uF (50v),C_0603,84.8614,49.3268,90,bottom
C55,C_0402,75.2094,42.3164,75.2094,42.3164,75.2094,42.3164,,,,,,C55,1uF,C_0402,75.2094,42.3164,90,bottom
C56,C_0603,20.9296,43.7896,20.9296,43.7896,20.9296,43.7896,,,,,,C56,4.7uF,C_0603,20.9296,43.7896,262.8,bottom
C57,C_0603,32.980015,22.657429,32.980015,22.657429,32.980015,22.657429,,,,,,C57,4.7uF,C_0603,32.980015,22.657429,142.5,bottom
C58,C_0603,67.675267,65.455291,67.675267,65.455291,67.675267,65.455291,,,,,,C58,4.7uF,C_0603,67.675267,65.455291,320,bottom
C59,C_0402,61.59,17.91,61.59,17.91,61.59,17.91,,,,,,C59,0.1uF,C_0402,61.59,17.91,22.5,bottom
C60,C_0402,40.259,20.066,40.259,20.066,40.259,20.066,,,,,,C60,0.1uF,C_0402,40.259,20.066,0,bottom
C61,C_0402,67.056,71.66,67.056,71.66,67.056,71.66,,,,,,C61,0.1uF,C_0402,67.056,71.66,90,bottom
C62,C_0603,48.78,49.46,48.78,49.46,48.78,49.46,,,,,,C62,4.7uF,C_0603,48.78,49.46,90,bottom
C63,C_0603,77.1398,41.1226,77.1398,41.1226,77.1398,41.1226,,,,,,C63,4.7uF,C_0603,77.1398,41.1226,262.8,bottom
C64,C_0402,22.098,43.815,22.098,43.815,22.098,43.815,,,,,,C64,0.1uF,C_0402,22.098,43.815,82.8,bottom
