Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0402,63.05,49.60,63.05,49.60,63.05,49.60,bottom,180,0.1uF
C2,C_0603,39.02,68.96,39.02,68.96,39.02,68.96,bottom,25,4.7uF
C5,C_0603,46.86,67.18,46.86,67.18,46.86,67.18,bottom,180,4.7uF
C9,C_0603,61.02,19.07,61.02,19.07,61.02,19.07,bottom,-22.5,4.7uF
C10,C_0402,48.65,66.07,48.65,66.07,48.65,66.07,bottom,180,0.1uF
C11,C_0402,64.52,64.77,64.52,64.77,64.52,64.77,bottom,0,0.1uF
C12,C_0603,64.54,63.43,64.54,63.43,64.54,63.43,bottom,0,4.7uF
C13,C_0402,64.52,61.98,64.52,61.98,64.52,61.98,bottom,0,0.1uF
C14,C_0402,48.11,62.13,48.11,62.13,48.11,62.13,bottom,-90,0.1uF
C15,C_0402,64.52,67.31,64.52,67.31,64.52,67.31,bottom,0,0.1uF
C16,C_0603,64.52,66.04,64.52,66.04,64.52,66.04,bottom,0,4.7uF
C17,C_0603,55.88,74.20,55.88,74.20,55.88,74.20,bottom,90,4.7uF
C18,C_0402,43.40,63.30,43.40,63.30,43.40,63.30,bottom,180,15pF
C19,C_0402,43.40,64.90,43.40,64.90,43.40,64.90,bottom,180,15pF
C20,C_0402,57.45,57.26,57.45,57.26,57.45,57.26,bottom,-90,0.1uF
C21,C_0402,32.85,71.91,32.85,71.91,32.85,71.91,bottom,180,0.1uF
C23,C_0603,44.92,47.14,44.92,47.14,44.92,47.14,bottom,180,4.7uF
C25,C_0402,32.33,58.12,32.33,58.12,32.33,58.12,bottom,0,0.1uF
C26,C_0402,44.93,44.67,44.93,44.67,44.93,44.67,bottom,180,0.1uF
C27,C_0402,51.80,47.55,51.80,47.55,51.80,47.55,bottom,90,1uF
C28,C_0402,54.95,48.36,54.95,48.36,54.95,48.36,bottom,180,1uF
C29,C_0402,56.55,45.23,56.55,45.23,56.55,45.23,bottom,180,1uF
C30,C_0402,51.80,45.33,51.80,45.33,51.80,45.33,bottom,-90,1uF
C31,C_0402,53.33,45.13,53.33,45.13,53.33,45.13,bottom,-90,1uF
C32,C_0402,55.50,47.26,55.50,47.26,55.50,47.26,bottom,180,1uF
C33,C_0402,57.15,44.29,57.15,44.29,57.15,44.29,bottom,180,1uF
C34,C_0402,50.86,45.33,50.86,45.33,50.86,45.33,bottom,-90,1uF
C35,C_0402,56.05,46.20,56.05,46.20,56.05,46.20,bottom,180,1uF
C36,C_0402,48.44,44.53,48.44,44.53,48.44,44.53,bottom,90,0.1uF
C37,C_0603,44.98,45.75,44.98,45.75,44.98,45.75,bottom,180,4.7uF
C38,C_0402,64.01,19.00,64.01,19.00,64.01,19.00,bottom,90,0.1uF
C39,C_0402,57.15,74.55,57.15,74.55,57.15,74.55,bottom,90,0.1uF
C40,C_0402,35.69,69.72,35.69,69.72,35.69,69.72,bottom,-112.5,0.1uF
C41,C_0402,32.85,73.03,32.85,73.03,32.85,73.03,bottom,180,1uF
C42,C_0402,65.15,19.00,65.15,19.00,65.15,19.00,bottom,90,1uF
C43,C_0603,21.30,36.20,21.30,36.20,21.30,36.20,bottom,0,4.7uF
