Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C3,C_0402,41.08,51.59,41.08,51.59,41.08,51.59,Top,180,1uF
C4,C_0603,23.58,36.96,23.58,36.96,23.58,36.96,Top,-90,4.7uF
C6,C_0603,25.59,34.85,25.59,34.85,25.59,34.85,Top,0,4.7uF
C7,C_0603,21.47,43.51,21.47,43.51,21.47,43.51,Top,-90,4.7uF
C8,C_0603,23.98,48.97,23.98,48.97,23.98,48.97,Top,-90,4.7uF
C22,C_0402,6.56,49.03,6.56,49.03,6.56,49.03,Top,0,0.1uF
C24,C_0402,15.75,28.75,15.75,28.75,15.75,28.75,Top,-90,0.1uF
C44,C_0603,13.74,43.56,13.74,43.56,13.74,43.56,Top,-90,4.7uF
D1,D_SOD-123,12.02,46.23,12.02,46.23,12.02,46.23,Top,180,MBR0520LT1G
D4,SOT-723,6.57,43.94,6.57,43.94,6.57,43.94,Top,-90,ESD5V3U2U
DS2,CLVBA,82.43,27.70,82.43,27.70,82.43,27.70,Top,0,CLVBA_RGB_LED
L1,L_0603_1608Metric,6.93,41.10,6.93,41.10,6.93,41.10,Top,0,BLM18PG600
L3,L_0603_1608Metric,6.59,46.79,6.59,46.79,6.59,46.79,Top,180,BLM18PG600
Q2,SOT-23,54.91,4.06,54.91,4.06,54.91,4.06,Top,180,MMBT2222
Q3,SOT-23,43.82,5.72,43.82,5.72,43.82,5.72,Top,180,MMBT2222
Q4,SOT-23,74.95,26.83,74.95,26.83,74.95,26.83,Top,90,MMBT2222
Q5,SOT-23,89.15,31.98,89.15,31.98,89.15,31.98,Top,-90,MMBT2222
Q6,SOT-23,81.68,21.15,81.68,21.15,81.68,21.15,Top,90,MMBT2222
Q8,SOT-23,29.24,43.14,29.24,43.14,29.24,43.14,Top,0,MMBT2222
R1,R_0402,26.39,44.61,26.39,44.61,26.39,44.61,Top,90,4.7K
R2,R_0402,41.08,50.45,41.08,50.45,41.08,50.45,Top,0,100K
R3,R_0402,41.08,52.74,41.08,52.74,41.08,52.74,Top,180,390K (1%)
R6,R_0402,25.58,42.24,25.58,42.24,25.58,42.24,Top,0,4.7K
R14,R_0402,9.14,48.18,9.14,48.18,9.14,48.18,Top,0,4.7K
R15,R_0402,9.12,49.40,9.12,49.40,9.12,49.40,Top,180,10K
R17,R_0402,15.75,26.75,15.75,26.75,15.75,26.75,Top,-90,10K
R27,R_0402_1005Metric,54.23,8.72,54.23,8.72,54.23,8.72,Top,90,10K
R28,R_0402_1005Metric,44.35,3.30,44.35,3.30,44.35,3.30,Top,180,10K
R29,R_0402_1005Metric,55.37,8.72,55.37,8.72,55.37,8.72,Top,-90,10K
R30,R_0402,75.85,24.13,75.85,24.13,75.85,24.13,Top,90,100K
R31,R_0402,74.05,24.13,74.05,24.13,74.05,24.13,Top,-90,10K
R32,R_0402,92.08,34.88,92.08,34.88,92.08,34.88,Top,90,100K
R33,R_0402,92.13,32.84,92.13,32.84,92.13,32.84,Top,90,10K
R34,R_0402,78.90,18.93,78.90,18.93,78.90,18.93,Top,0,100K
R35,R_0402,78.90,20.18,78.90,20.18,78.90,20.18,Top,180,10K
R36,R_0805,75.57,30.10,75.57,30.10,75.57,30.10,Top,180,124
R37,R_0805,88.93,29.33,88.93,29.33,88.93,29.33,Top,0,124
R38,R_0805,85.22,22.61,85.22,22.61,85.22,22.61,Top,-90,124
R40,R_0402_1005Metric,44.36,1.71,44.36,1.71,44.36,1.71,Top,0,10K
R42,R_0402,29.79,46.56,29.79,46.56,29.79,46.56,Top,0,10K
R43,R_0402,28.25,45.99,28.25,45.99,28.25,45.99,Top,90,10K
R44,R_1206,35.56,47.98,35.56,47.98,35.56,47.98,Top,0,49.9
R46,R_0402,14.67,26.75,14.67,26.75,14.67,26.75,Top,-90,100K
U2,SOT-553,25.36,36.80,25.36,36.80,25.36,36.80,Top,-90,TCR2EE/EF
U5,SOT-23-5,23.94,45.36,23.94,45.36,23.94,45.36,Top,-90,MCP73831-2AC
