#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
pcb,Machine,Trace,100,100,350,150,Front,10,10,0,
mark,Whole,Auto,
test,No,
mirror_create,1,1,0,0,0,0,0,0,0,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,1,1,C21,C_0402_0.1uF,C_0402,32.28,69.19,-157.50,No,
comp,1,1,C38,C_0402_0.1uF,C_0402,53.33,14.58,112.50,No,
comp,1,1,C39,C_0402_0.1uF,C_0402,13.55,50.06,-8.00,No,
comp,1,1,C40,C_0402_0.1uF,C_0402,73.95,37.47,172.50,No,
comp,1,1,C41,C_0402_0.1uF,C_0402,27.44,22.35,142.50,No,
comp,1,1,C42,C_0402_0.1uF,C_0402,64.16,66.69,-127.50,No,
comp,1,1,C43,C_0603_DNP,C_0603,65.49,24.62,0.00,No,
comp,1,1,C44,C_0603_DNP,C_0603,69.70,24.60,0.00,No,
comp,1,1,C45,C_0402_0.1uF,C_0402,71.94,15.45,0.00,No,
comp,1,1,C46,C_0402_0.1uF,C_0402,70.17,16.43,0.00,No,
comp,1,1,C47,C_0402_2.2uF,C_0402,71.68,20.08,90.00,No,
comp,1,1,C54,C_0402_2.2uF,C_0402,72.64,20.09,90.00,No,
comp,1,1,C55,C_0402_0.1uF,C_0402,70.78,20.07,-90.00,No,
comp,1,1,C56,C_0402_2.2uF,C_0402,63.03,19.87,180.00,No,
comp,1,1,C57,C_0402_1uF,C_0402,50.93,57.75,90.00,No,
comp,1,1,C58,C_0402_1uF,C_0402,46.81,56.57,180.00,No,
comp,1,1,C59,C_0402_1uF,C_0402,57.04,59.84,180.00,No,
comp,1,1,C60,C_0402_1uF,C_0402,41.67,64.80,0.00,No,
comp,1,1,C61,C_0402_1uF,C_0402,44.77,57.40,180.00,No,
comp,1,1,C62,C_0402_1uF,C_0402,42.32,57.24,0.00,No,
comp,1,1,D3,D_SOD-123_D,D_SOD-123,61.75,13.35,-90.00,No,
comp,1,1,D6,D_SOD-123_D,D_SOD-123,64.27,13.40,-90.00,No,
comp,1,1,L4,C_0805_10uH,C_0805,74.06,20.84,90.00,No,
comp,1,1,L5,C_0805_10uH,C_0805,75.91,20.84,-90.00,No,
comp,1,1,R16,R_0402_10K,R_0402,30.43,68.43,22.50,No,
comp,1,1,R21,R_0402_10K,R_0402,54.91,18.07,22.50,No,
comp,1,1,R23,R_0402_10K,R_0402,15.90,47.10,82.00,No,
comp,1,1,R24,R_0402_10K,R_0402,71.50,40.13,82.50,No,
comp,1,1,R25,R_0402_10K,R_0402,26.62,21.42,-37.50,No,
comp,1,1,R26,R_0402_10K,R_0402,63.02,65.12,52.50,No,
comp,1,1,R27,R_0402_100K,R_0402,64.01,17.36,0.00,No,
comp,1,1,R28,R_0402_100K,R_0402,64.54,20.31,90.00,No,
comp,1,1,R29,R_0402_100K,R_0402,64.19,21.63,0.00,No,
comp,1,1,R40,R_0402_100K,R_0402,63.97,16.30,0.00,No,
comp,1,1,R48,R_0402_10K,R_0402,62.49,21.63,0.00,No,
comp,1,1,R49,R_0402_34K (1%) (try 100K@0.5%),R_0402,52.11,57.73,90.00,No,
comp,1,1,R50,R_0402_0,R_0402,67.03,22.93,90.00,No,
comp,1,1,R51,R_0402_10K,R_0402,68.39,13.40,90.00,No,
comp,1,1,R52,R_0402_10K,R_0402,68.38,15.08,90.00,No,
comp,1,1,R53,R_0402_0,R_0402,68.09,22.93,90.00,No,
comp,1,1,R57,R_0402_34K (1%) (try 100K@0.5%),R_0402,46.69,57.51,0.00,No,
comp,1,1,R58,C_0402_68.1K (1%) (Try 392K @1%),C_0402,46.86,55.65,0.00,No,
comp,1,1,R59,R_0402_10K,R_0402,70.07,15.46,0.00,No,
comp,1,1,R60,R_0402_100K,R_0402,66.09,14.58,-90.00,No,
comp,1,1,R61,R_0402_100K,R_0402,66.11,12.71,-90.00,No,
comp,1,1,R62,R_0402_10K,R_0402,67.80,11.93,0.00,No,
comp,1,1,R63,R_0402_34K (1%) (try 100K@0.5%),R_0402,57.07,58.62,0.00,No,
comp,1,1,R64,R_0402_34K (1%) (try 100K@0.5%),R_0402,41.76,62.81,0.00,No,
comp,1,1,R65,R_0402_34K (1%) (try 100K@0.5%),R_0402,44.82,56.34,0.00,No,
comp,1,1,R66,R_0402_34K (1%) (try 100K@0.5%),R_0402,42.47,58.23,0.00,No,
comp,1,1,R67,C_0402_68.1K (1%) (Try 392K @1%),C_0402,53.29,57.70,-90.00,No,
comp,1,1,R68,C_0402_68.1K (1%) (Try 392K @1%),C_0402,57.04,60.90,0.00,No,
comp,1,1,R69,C_0402_68.1K (1%) (Try 392K @1%),C_0402,41.64,63.83,0.00,No,
comp,1,1,R70,C_0402_68.1K (1%) (Try 392K @1%),C_0402,44.73,58.31,0.00,No,
comp,1,1,R71,C_0402_68.1K (1%) (Try 392K @1%),C_0402,42.30,56.25,0.00,No,
comp,1,1,U7,SOT-23_SS39ET,SOT-23,55.38,15.74,-67.50,No,
comp,1,1,U8,SOT-23_SS39ET,SOT-23,30.96,71.22,112.50,No,
comp,1,1,U11,SOT-23_SS39ET,SOT-23,13.60,47.64,172.00,No,
comp,1,1,U12,SOT-23_SS39ET,SOT-23,73.83,39.89,-7.50,No,
comp,1,1,U13,SOT-23_SS39ET,SOT-23,25.26,19.47,-127.50,No,
comp,1,1,U14,SOT-23_SS39ET,SOT-23,62.04,67.79,52.50,No,
comp,1,1,U15,FAN8831MPX_FAN8831MPX,FAN8831MPX,67.68,19.10,-90.00,No,
