#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,1,409.63,91.37,90.00,,C_0402/C_0402_470pF (DNP),0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,2,0,1,409.66,105.24,90.00,,C_0402/C_0402_0.1uF,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,3,0,1,409.92,118.17,90.00,,C_0402/C_0402_1uF,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,4,0,1,409.42,131.60,90.00,,C_0402/C_0402_2.2uF,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,5,0,34,409.83,144.57,90.00,1206,C_0402/C_0402_0.01uF (DNP),0.00,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,6,0,34,409.70,157.61,90.00,1206,C_0402/C_0402_15pF,0.00,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,7,0,1,409.83,170.78,90.00,,C_0402/C_0402_0.01uF,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,8,0,1,409.94,248.43,90.00,,D_SOD-123/D_SOD-123_D,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,9,0,1,410.35,261.77,90.00,,SOT-723/SOT-723_ESD5V3U2U,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,10,0,1,409.61,275.35,90.00,,CLVBA/CLVBA_CLVBA_RGB_LED,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,11,0,12,409.96,288.53,90.00,1206,SOT-23-5/SOT-23-5_AP3012,0.00,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,12,0,12,409.71,301.65,90.00,1206,C_0805/C_0805_10uH,0.00,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,13,0,1,409.19,314.74,90.00,,Inductor_Wurth_MAPI-2010/Inductor_Wurth_MAPI-2010_BLM18PG600,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,14,0,1,409.96,327.79,90.00,,501568-0207/501568-0207_Bat Conn,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,15,0,1,409.88,341.06,90.00,,USB_Micro-B/USB_Micro-B_USB_Micro B,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,16,0,1,409.98,354.53,90.00,,501568-0207/501568-0207_ER-CON2.0-2P-SMD,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,17,0,1,409.91,370.31,90.00,,SOT-23/SOT-23_BCW89,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,18,0,1,408.69,381.25,90.00,,R_0402/R_0402_100K,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,19,0,1,413.00,514.00,90.00,,R_0402/R_0402_390K (1%),0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,20,0,2,23.42,23.99,90.00,0402,R_0402/R_0402_499,0.50,0,0.00,0,Yes,-20,1,100,4,50,80,No,No,
stack,21,0,1,23.23,36.99,-90.00,,R_0402/R_0402_4.7K,0.50,0,0.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,22,0,1,23.32,50.08,-90.00,,R_0402/R_0402_10K,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,23,0,1,24.37,63.21,-90.00,,R_0402/R_0402_33,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,24,0,1,23.62,76.38,-90.00,,R_0805/R_0805_124,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,25,0,1,23.12,89.73,-90.00,,R_1206_HandSoldering/R_1206_HandSoldering_49.9,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,26,0,1,23.39,102.95,-90.00,,R_0402/R_0402_0 (DNP),0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,27,0,1,23.48,116.02,-90.00,,R_0402/R_0402_0,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,28,0,1,23.65,128.96,-90.00,,Bridge_4SMD_GullWing/Bridge_4SMD_GullWing_ESWITCH_T_GULL,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,29,0,1,23.07,142.10,-90.00,,RF_BM_S02/RF_BM_S02_RF_BM_S02,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,30,0,1,23.43,155.22,-90.00,,SOT-553/SOT-553_TCR2EE/EF,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,31,0,1,23.21,168.42,-90.00,,SOT-25/SOT-25_AP9101C,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,32,0,1,23.41,181.52,-90.00,,SOT-23-6/SOT-23-6_DMG9926UDM,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,33,0,1,23.13,194.64,-90.00,,SOT-23-5/SOT-23-5_MCP73831-2AC,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,34,0,1,23.52,207.74,-90.00,,PG_VQFN-48-53/PG_VQFN-48-53_XMC4200_QFN48,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,35,0,1,23.29,220.81,-90.00,,LGA-24-3.5X3.0/LGA-24-3.5X3.0_LSM330,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,36,0,1,23.19,234.16,-90.00,,ER-CON30HB-1_REV/ER-CON30HB-1_REV_ER-CON30HB-1,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
stack,37,0,1,23.13,247.21,-90.00,,Crystal_NX3225/Crystal_NX3225_12MHz,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
pcb,Machine,Trace,100,100,349.6,153.8,Front,10,10,0,
mark,Whole,Auto,335.688,99.9358,275.164,98.7608,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
test,No,
mirror_create,1,1,293.77,129.91,0,0,0,0,0,
mirror,293.77,129.91,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,1,1,C1,C_0402_470pF (DNP),C_0402,293.93,129.94,120.43,No,
comp,2,1,C2,C_0402_0.1uF,C_0402,292.81,129.28,-59.57,No,
comp,3,1,C3,C_0402_1uF,C_0402,274.67,110.50,180.43,No,
comp,3,1,C4,C_0402_1uF,C_0402,300.06,116.82,90.43,No,
comp,2,1,C5,C_0402_0.1uF,C_0402,277.39,107.62,-89.57,No,
comp,3,1,C6,C_0402_1uF,C_0402,301.69,115.51,180.43,No,
comp,4,1,C7,C_0402_2.2uF,C_0402,283.31,105.67,90.43,No,
comp,4,1,C8,C_0402_2.2uF,C_0402,278.30,105.45,-89.57,No,
comp,3,1,C9,C_0402_1uF,C_0402,292.11,118.01,0.43,No,
comp,4,1,C10,C_0402_2.2uF,C_0402,313.30,128.29,90.43,No,
comp,2,1,C11,C_0402_0.1uF,C_0402,312.29,128.28,90.43,No,
comp,2,1,C12,C_0402_0.1uF,C_0402,315.44,119.47,0.43,No,
comp,2,1,C13,C_0402_0.1uF,C_0402,302.09,121.28,180.43,No,
comp,2,1,C14,C_0402_0.1uF,C_0402,302.39,118.56,180.43,No,
comp,2,1,C15,C_0402_0.1uF,C_0402,316.00,121.66,0.43,No,
comp,4,1,C16,C_0402_2.2uF,C_0402,316.01,122.60,0.43,No,
comp,5,3,C17,C_0402_0.01uF (DNP),C_0402,315.98,123.51,0.43,No,
comp,6,4,C18,C_0402_15pF,C_0402,317.18,118.95,-89.57,No,
comp,6,3,C19,C_0402_15pF,C_0402,317.32,121.11,90.43,No,
comp,2,1,C20,C_0402_0.1uF,C_0402,309.27,115.34,180.43,No,
comp,2,1,C22,C_0402_0.1uF,C_0402,265.02,106.32,90.43,No,
comp,7,1,C23,C_0402_0.01uF,C_0402,330.44,106.82,180.43,No,
comp,2,1,C24,C_0402_0.1uF,C_0402,274.52,81.39,90.43,No,
comp,2,1,C25,C_0402_0.1uF,C_0402,330.45,107.93,0.43,No,
comp,7,1,C26,C_0402_0.01uF,C_0402,329.80,108.84,180.43,No,
comp,3,1,C27,C_0402_1uF,C_0402,305.37,110.54,90.43,No,
comp,3,1,C28,C_0402_1uF,C_0402,308.23,111.24,180.43,No,
comp,3,1,C29,C_0402_1uF,C_0402,310.02,108.22,180.43,No,
comp,3,1,C30,C_0402_1uF,C_0402,305.17,108.30,-89.57,No,
comp,3,1,C31,C_0402_1uF,C_0402,306.70,108.08,-89.57,No,
comp,3,1,C32,C_0402_1uF,C_0402,308.80,110.14,180.43,No,
comp,3,1,C33,C_0402_1uF,C_0402,310.49,107.28,180.43,No,
comp,3,1,C34,C_0402_1uF,C_0402,304.16,108.27,-89.57,No,
comp,3,1,C35,C_0402_1uF,C_0402,309.30,109.17,180.43,No,
comp,2,1,C36,C_0402_0.1uF,C_0402,302.01,108.28,90.43,No,
comp,4,1,C37,C_0402_2.2uF,C_0402,303.08,110.72,90.43,No,
comp,4,1,C48,C_0402_2.2uF,C_0402,304.12,110.73,90.43,No,
comp,4,1,C49,C_0402_2.2uF,C_0402,315.46,118.71,0.43,No,
comp,4,1,C50,C_0402_2.2uF,C_0402,302.09,120.36,180.43,No,
comp,4,1,C51,C_0402_2.2uF,C_0402,302.38,119.47,180.43,No,
comp,4,1,C52,C_0402_2.2uF,C_0402,302.04,110.72,90.43,No,
comp,4,1,C53,C_0402_2.2uF,C_0402,301.02,110.71,90.43,No,
comp,8,1,D1,D_SOD-123_D,D_SOD-123,281.33,102.90,180.43,No,
comp,8,1,D2,D_SOD-123_D,D_SOD-123,291.90,113.49,-89.57,No,
comp,9,1,D4,SOT-723_ESD5V3U2U,SOT-723,268.22,100.15,-89.57,No,
comp,8,1,D5,D_SOD-123_D,D_SOD-123,315.05,135.90,180.43,No,
comp,8,1,D7,D_SOD-123_D,D_SOD-123,326.51,93.94,0.43,No,
comp,8,1,D8,D_SOD-123_D,D_SOD-123,326.27,97.55,-89.57,No,
comp,10,1,DS2,CLVBA_CLVBA_RGB_LED,CLVBA,278.37,125.31,45.43,No,
comp,11,2,G1,SOT-23-5_AP3012,SOT-23-5,287.45,115.78,180.43,No,
comp,12,1,L1,C_0805_10uH,C_0805,287.30,112.39,0.43,No,
comp,13,1,L2,Inductor_Wurth_MAPI-2010_BLM18PG600,Inductor_Wurth_MAPI-2010,309.31,113.63,0.43,No,
comp,13,1,L3,Inductor_Wurth_MAPI-2010_BLM18PG600,Inductor_Wurth_MAPI-2010,269.16,95.62,180.43,No,
comp,14,1,P1,501568-0207_Bat Conn,501568-0207,289.52,104.49,0.43,No,
comp,15,1,P2,USB_Micro-B_USB_Micro B,USB_Micro-B,264.48,99.76,-89.57,No,
comp,16,1,P4,501568-0207_ER-CON2.0-2P-SMD,501568-0207,319.50,105.05,0.43,No,
comp,17,1,Q1,SOT-23_BCW89,SOT-23,331.47,116.17,90.43,No,
comp,17,1,Q2,SOT-23_BCW89,SOT-23,330.67,94.01,180.43,No,
comp,17,1,Q3,SOT-23_BCW89,SOT-23,329.28,97.99,180.43,No,
comp,17,1,Q4,SOT-23_BCW89,SOT-23,272.53,119.76,180.43,No,
comp,17,1,Q5,SOT-23_BCW89,SOT-23,282.77,132.29,0.43,No,
comp,17,1,Q6,SOT-23_BCW89,SOT-23,283.60,122.08,90.43,No,
comp,17,1,Q8,SOT-23_BCW89,SOT-23,317.88,113.57,0.43,No,
comp,18,1,R1,R_0402_100K,R_0402,294.98,128.03,-59.57,No,
comp,18,1,R2,R_0402_100K,R_0402,274.67,109.35,0.43,No,
comp,19,1,R3,R_0402_390K (1%),R_0402,274.66,111.64,0.43,No,
comp,20,2,R4,R_0402_499,R_0402,276.06,107.60,-89.57,No,
comp,20,2,R5,R_0402_499,R_0402,288.07,109.94,0.43,No,
comp,21,1,R6,R_0402_4.7K,R_0402,281.50,108.57,0.43,No,
comp,18,1,R7,R_0402_100K,R_0402,286.77,118.27,0.43,No,
comp,18,1,R8,R_0402_100K,R_0402,290.25,117.91,-89.57,No,
